name,cause of death,born,died,comments
Jerry Leiber (lyricist),Cardio-pulmonary failure. ,"April 25, 1933","August 22, 2011","With professional partner Mike Stoller, Leiber wrote the lyrics for songs like ""Hound Dog,"" ""Jailhouse Rock,"" ""Stand by Me"" (with Ben E. King) and the Peggy Lee standard ""Is That All There Is?.""  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Michael S. Hart (geek/futurist),Heart attack. ,"March 8, 1947","September 6, 2011",Creator of Project Gutenberg.  Home Page  Obituary
Cliff Robertson (actor),,"September 9, 1923","September 10, 2011","Won a Best Actor Oscar for Charly, Spider-man (the Maguire version), quasi-""blacklisted"" after blowing the whistle on an unethical producer, pilot, married to Dina Merrill for twenty years.  IBDB  IMDb  Obituary"
Andy Whitfield (actor),Non-Hodgkins Lymphoma. ,"July 17, 1972","September 11, 2011","Unknown actor cast as Spartacus for cable, but got sick after the first year and had to be replaced.  Home Page  IMDb  Obituary"
Dolores Hope (singer),,"May 27, 1909","September 19, 2011","Sometimes performed with her husband, started recording albums in her 70s, made it to 102!  Home Page  IMDb  Obituary  FindAGrave"
Arch West (marketer),,"September 8, 1914","September 20, 2011",Longtime employee of Frito-Lay who suggested the development of Doritos and helped to market them.  Obituary
Doris Belack (actress),,February 26,"October 4, 2011",1926. Very active theater and TV actress (may be best-known as a judge from Law and Order) who did the occasional flick (the producer in Tootsie).  IBDB  IMDb  Obituary
Fred Shuttlesworth (civil rights leader/minister),,"March 18, 1922","October 5, 2011","One of the leaders of the civil rights movement in the South, especially in Birmingham, Alabama in the early '60s, survived multiple assassination attempts.  IMDb  Obituary"
Steve Jobs (Entrepreneur/geek),[rumors]. Pancreatic cancer. ,"February 24, 1955","October 5, 2011","College drop-out who founded Apple and NeXT and bought Pixar, in and out of the computer industry several times, resigned from Apple several months before his death.  Home Page  IMDb   Obituary"
Diane Cilento (Actress),,"October 5, 1933","October 6, 2011","Oscar-nominated for Tom Jones, married to Sean Connery for eleven years and to Anthony Shaffer until his death.  IBDB  IMDb  Obituary"
George Baker (actor),Pneumonia/stroke. ,"April 1, 1931","October 7, 2011","Best-known as Wexford in the The Ruth Rendell Mysteries, he played Tiberius in I, Claudius  IBDB  IMDb  Obituary"
Dennis Ritchie (uber-geek),,"September 8, 1941","October 8, 2011","The father of Unix (with Kenneth Thompson) and C, wrote the seminal The C Programming Manual (with Brian Kernighan) and won the Turing Prize.  Obituary"
Sue Mengers (agent),Pneumonia. ,"September 2, 1932","October 15, 2011","Agent of many '70s stars including Ali McGraw, Tatum O'Neal, Barbra Streisand and Gene Hackman, hosted gatherings of the famous at her house until shortly before her death.  Home Page  IMDb  Obituary  FindAGrave"
Robert Pierpoint (reporter),Surgery after a broken hip. ,"May 16, 1925","October 22, 2011","Longtime CBS White House reporter, from the '50s through the '70s.  IMDb  Obituary  FindAGrave"
Elizabeth Winship (Ask Beth),,"May 17, 1921","October 23, 2011","Wrote a common-sense, syndicated advice column aimed at teens from 1963 until 1998.  Obituary"
John McCarthy (AI theorist/LISP inventor),Heart disease. ,"September 4, 1927","October 24, 2011","Longtime computer professor, he developed the ideas about Artificial Intelligence and timesharing, co-founded the MIT AI Lab with Marvin Minsky, won the Turing Award.  Home Page  twitter  Obituary"
Gil Cates (producer/director),,"June 6, 1934","October 31, 2011",Producer of many Oscar telecasts in the '90s and '00s.  IBDB  IMDb  Obituary
John F. Burke (surgeon/chemical engineer),Pancreatic cancer. ,"July 7, 1922","November 2, 2011",Developer of the first artifical skin.  Obituary
Sid Melton (actor),Pneumonia. ,"May 22, 1917","November 2, 2011","Bit player on many TV shows, Sofia's husband (in flashbacks) in The Golden Girls, Alf on Green Acres, Charlie on various shows with Danny Thomas.  Home Page  IBDB  IMDb  Obituary"
Leonard Stone (actor),Cancer ,"November 3, 1923","November 2, 2011","Tons of TV, but may be best-known as Violet's father in the original Willy Wonka and the Chocolate Factory.  Home Page  IBDB  IMDb  Obituary"
Norman Ramsey (physicist),,"August 27, 1915","November 4, 2011","A member of the Manhattan project, he went on to develop the atomic clock and won a Nobel prize for physics.  Home Page  Obituary  FindAGrave"
Andy Rooney (Commentator),Complications after surgery. ,"January 14, 1919","November 4, 2011","Long-time CBS journalist who opined on 60 Minutes for 33 years, died weeks after his retirement.  Home Page  IMDb  Obituary"
Joe Frazier (boxer),Liver cancer. ,"January 12, 1944","November 7, 2011","Heavyweight champion of the world, eventually lost the title to George Foreman.  Home Page  IMDb  Obituary"
"Andrea True (odd jobs, including disco diva and porn star)",Heart failure. ,"July 26, 1943","November 7, 2011","Performer and co-writer of disco-era earworm ""More, More, More.""  IMDb  Obituary"
Bil Keane (cartoonist),Heart failure. ,"October 5, 1922","November 8, 2011",Creator of and longtime cartoonist for The Family Circus.  Home Page  IMDb  Obituary
Lee Pockriss (songwriter),,"January 20, 1924","November 14, 2011","Co-wrote ""Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini,"" ""Catch a Falling Star,"" and ""Teen Angel,"" sang in The Cuff Links  Home Page  IMDb  Obituary"
Mark Hall (TV producer),Cancer. ,"May 17, 1936","November 17, 2011","The man behind Danger Mouse, Count Duckula and The Wind in the Willows.  IMDb  Obituary"
John Neville (actor),,"May 2, 1925","November 19, 2011","Shakespearean actor who may be best known as Baron von Munchausen and the ""Well-Manicured Man"" on X-Files  IMDb  Obituary"
Anne McCaffrey (writer),Stroke. ,"April 1, 1926","November 21, 2011",Award-winning writer of the Dragonrider/Pern series.  Home Page  IMDb  Obituary
Ken Russell (director),Strokes. ,"July 3, 1927","November 27, 2011","Directed the controversial movies Women in Love, The Devils and Tommy.  twitter  IMDb  Obituary"
Alan Sues (comic),,"March 7, 1926","December 1, 2011","Breathless regular on Laugh-In, Uncle Al, the kiddie's pal.  Home Page  twitter  IMDb  "
Robert Lawrence Balzer (writer),,"June 6, 1912","December 2, 2011",He wrote about wine for over 70 years and helped to popularize California wines.  Home Page  twitter  IMDb  Obituary
Mary Ellen Avery (physician),,"May 6, 1927","December 4, 2011","Developed a treatment for respiratory distress syndrome which saved many premature babies, first pediatrician to lead the American Association for the Advancement of Science.  Home Page  Obituary  FindAGrave"
Marion Dougherty (casting directory),,1923,"December 4, 2011","Revolutionized how TV and movies are cast; was in charge of casting movies like Lenny, Reds and the Tim Burton Batman movies, inspired the documentary Casting by: Revolution in Hollywood.    IMDb  Obituary"
Darrell K. Sweet (artist),,1934,"December 5, 2011","Science fiction and western artist since the '70s, may be best-known for the Wheel of Time covers.  Home Page  twitter  Obituary"
Harry Morgan (actor),,"April 10, 1915","December 7, 2011","Lots of movies, but probably best-known as Col. Potter on the M*A*S*H TV show.  IMDb  Obituary  FindAGrave"
Russell Hoban (writer),,"February 4, 1925","December 13, 2011",Wrote a number of books including Riddley Walker and Turtle Diary.  Home Page  twitter  IMDb  Obituary
Christopher Hitchens (writer),Esophageal cancer/pneumonia. ,"April 13, 1949","December 15, 2011","Societal commentator who wrote a variety of books including God Is not Great. ""If I could change just one thing, it would be to disassociate the idea of faith from virtue.""  Home Page  Home Page  twitter  IMDb  Obituary"
Nicol Williamson (actor),Esophageal cancer. ,"September 14, 1936","December 16, 2011","Merlin in Excalibur, Holmes in The Seven-Per-Cent Solution, recorded an audiobook of The Hobbit in the '70s.  Home Page  twitter  IBDB  IMDb  Obituary"
Robert Easton (actor/dialect coach),[rumors] ,"November 23, 1930","December 16, 2011","He had over a 50 year acting career, starred in Stingray and may be remembered as Sparks in the movie Voyage to the Bottom of the Sea.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Vaclav Havel (former Czech president/playwright),,"October 5, 1936","December 18, 2011","Served as the first democratially-elected Czech president from 1990-2003, fought lung cancer for many years.  Home Page  twitter  IMDb  Obituary"
Cheetah (chimp),Kidney failure. ,Unknown,"December 24, 2011","Tarzan co-star in the 30s, spent a very long retirement swinging from bar to bar in a Florida zoo, Guinness Book of World's Records have named him the world's oldest chimp.  Home Page  twitter  Obituary"
Art Clokey (animator),,"October 12, 1921","January 8, 2010","Inventor of Gumby, he was also the animator for Davey and Goliath.  Home Page  IMDb  Obituary"
Miep Gies (Hero),,"February 15, 1909","January 11, 2010","An employee of Otto Frank who helped hide Anne Frank's family during part of WWII, and saved Anne's diary, returning it to her father after the war.  Home Page  IMDb  Obituary  FindAGrave"
Teddy Pendergrass (singer/songwriter),Colon cancer. ,"March 26, 1950","January 13, 2010","Great singer (""If You Don't Know Me By Now""), paralyzed in a 1982 accident.  IMDb  "
Carl Smith (singer/songwriter),,"March 15, 1927","January 16, 2010","Opry star, wrote ""Your Love Keeps Lifting Me (Higher and Higher),"" first husband of June Carter Cash  IMDb  Obituary  FindAGrave"
Erich Segal (writer/academic),Heart attack/Parkinson's disease. ,"June 16, 1937","January 17, 2010",Best-known for Love Story.  IMDB  
Robert B. Parker (writer),,"September 17, 1932","January 18, 2010","Most famous for the Spenser series of books, he wrote dozens of books, many of which were adapted for TV and the movies.  Home Page  IMDB  "
Kate McGarrigle (singer/songwriter),,"February 6, 1946","January 18, 2010","Canadian folksinger, wrote ""Heart Like a Wheel,"" mother of Rufus and Martha Wainwright.  Home Page  IMDb  Obituary  FindAGrave"
James Mitchell (actor/dancer),Heart disease/Chronic obstructive pulmonary disease ,"February 29, 1920","January 22, 2010","Starred in All My Children as Palmer Cortlandt for nearly 30 years, played Curly in the dream sequence ballet in Oklahoma and starred in Brigadoon on Broadway, survived by his partner, the costume designer Albert Wolsky.  IBDB  IMDb  Obituary"
Jean Simmons (actress),,"January 31, 1929","January 22, 2010","Guys and Dolls, Spartacus, Elmer Gantry and over 70 other films, once married to Stewart Granger.  IMDb  Obituary  FindAGrave"
Earl Wild (pianist),,"November 26, 1915","January 23, 2010","Classical pianist and teacher who started giving concerts on the radio by the time he was 12, recorded Gershwin's ""Rhapsody in Blue"" with the NBC Orchestra when he was 21, and gave his last concert at 92!  Home Page  IMDb  Obituary  FindAGrave"
Pernell Roberts (actor),,"May 18, 1928","January 24, 2010","Bonanza, Trapper John, MD.  IBDB  IMDb  Obituary"
Zelda Rubinstein (actress),Multiple organ failure. ,"May 28, 1933","January 27, 2010","The psychic in the Poltergeist movies, AIDS activist.  IMDb  Obituary"
J. D. Salinger (reclusive writer),,"January 1, 1919","January 27, 2010",Catcher in the Rye  IMDb  Obituary
Howard Zinn (historian),Heart attack ,"August 24, 1922","January 27, 2010","Longtime anti-war activist, he wrote A People's History of the United States.  IMDb  Obituary"
Aaron Ruben (producer),Pneumonia ,"March 1, 1914","January 30, 2010","Producer of TV shows, including The Andy Griffith Show, Gomer Pyle and Sanford and Son.  IBDB  IMDb  Obituary  FindAGrave"
Kage Baker (SF writer),Cancer ,"June 10, 1952","January 31, 2010","Wrote the Company novels, finalist for Hugo, Nebula and World Fantasy awards.  Home Page  Obituary"
David Brown (producer),,"July 28, 1916","February 1, 2010","Produced movies like Jaws, The Sting and The Player, and the Broadway show Dirty Rotten Scoundrels, married to Helen Gurley Brown.  IBDB  IMDb  Obituary"
Frances Reid (actress),,"December 12, 1914","February 3, 2010","Played Alice Horton on Days of Our Lives constantly from 1965 until 2007, very active on Broadway in the '40s.  Home Page  IBDB  IMDb"
William Tenn (SF writer/college professor),Congestive heart failure ,"May 9, 1920","February 7, 2010","Wrote dozens of satiric SF stories including ""On Venus, Have We Got a Rabbi,"" ""Child's Play"" and ""Winthrop Was Stubborn,"" longtime Penn State professor (his real name was Phil Klass), born same day as Frank Perdue and Richard Adams.  Home Page  IMDb"
Caroline McWilliams (actress),Multiple myeloma ,"April 4, 1945","February 11, 2010","Guiding Light, Soap, Benson, ex-wife of Micheal Keaton.  IBDB  IMDb  Obituary  FindAGrave"
Dick Francis (writer/jockey),,"October 31, 1920","February 14, 2010","A winning jockey in England, he later turned to writing racing-related mysteries.  Home Page  IMDb  Obituary  FindAGrave"
Andrew Koenig (actor/editor),,"August 17, 1968",circa mid-February 2010,"Boner in Growing Pains, edited a number of movies, son of Walter Koenig.  IMDb  Obituary"
Kathryn Grayson (singer/actress),,"February 9, 1922","February 17, 2010","Starred in Showboat, Kiss Me Kate.  Home Page  IBDB  IMDb  Obituary"
Lionel Jeffries (actor/director),,"June 10, 1926","February 19, 2010","Played the grandfather in Chitty Chitty Bang Bang (even though he was younger than ""son"" Dick Van Dyke), wrote and directed the classic movie The Railway Children.  IBDB  IMDb  Obituary  FindAGrave"
Robert McCall (artist),,1919,"February 26, 2010","Astronomical artist who worked for NASA and movies such as 2001 and Star Trek, created several space-related stamps in the '70s.  Home Page  IMDb  Obituary"
Bruce J. Graham (architect),,"December 1, 1925","March 6, 2010",Designed the Sears Tower and Hancock Center in Chicago.  Obituary
Corey Haim ('80s teen star),"Pneumonia, enlarged heart. ","December 23, 1971","March 10, 2010","Lucas, The Lost Boys, did a reality show with his old friend Corey Feldman in the late '00s.  Home Page  IMDb  Obituary  FindAGrave"
Merlin Olsen (football player/actor/sportscaster),Mesothelioma ,September 15,"March 11, 2010","1940. Los Angeles Rams tackle, football color commentator, Little House on the Prairie, died same year as Don Meredith.  Home Page  IMDb  Obituary  FindAGrave"
Peter Graves (actor),,March 18,"March 14, 2010","1926. In the original Mission Impossible, the main voice behind A & E's Biography, brother of James Arness.  IMDb  Obituary"
Alex Chilton (singer),Heart attack. ,"December 28, 1950","March 17, 2010","Had one huge song from the '60s ""My Baby, She Wrote Me a Letter,"" sang in The Box Tops and started Big Star.  Home Page  IMDb  Obituary  FindAGrave"
Fess Parker (actor),,"August 16, 1925","March 18, 2010","Played Davy Crockett in the '50s that launched the coonskin cap fad among kids, Daniel Boone, winemaker.  Home Page  IMDb  Obituary"
Liz Carpenter (writer),Pneumonia ,"September 1, 1920","March 20, 2010",Down-to-earth writer who was Lady Bird Johnson's press secretary and fought for women's causes.  Obituary
Stewart Udall (politician),After effects of a fall. ,"January 31, 1920","March 20, 2010",Helped expand national parks and helped craft environmental legislation during the 1960s.  IMDb  Obituary
Robert Culp (actor),Injuries from a fall. ,"August 16, 1930","March 24, 2010","I Spy, Bob and Carol and Ted and Alice, Everybody Loves Raymond and lots more TV.  IBDB  IMDb  Obituary"
June Havoc (actress),,"November 8, 1913","March 28, 2010","Actress with an interesting career and a tendency to write about it (like her older sister, Gypsy Rose Lee), a star of Gentleman's Agreement, she played Miss Hannigan on Broadway in Annie.  IBDB  IMDb  Obituary"
Ed Roberts (computer developer/doctor),Pneumonia. ,"August 23, 1941","April 1, 2010","Founded MITS, an early developer of calculator and computer kits and employer of Paul Allen and Bill Gates in the mid-'70s. Roberts sold his company and later went to med school.  Obituary"
John Forsythe (actor),"Pneumonia, cancer. ","January 29, 1918","April 1, 2010","Bachelor Father, Charlie's Angels, Dynasty. Make memorial contribution to American Cancer Society.  IBDB  IMDb  Obituary  FindAGrave"
Lori Martin (retired actress),,"April 18, 1947","April 4, 2010",The daughter in the original Cape Fear.  IMDb
Corin Redgrave (actor),,"July 16, 1939","April 6, 2010","Probably best-known to Americans as Hamish, the Scottish husband in Four Weddings and a Funeral, a political activist like his sister Vanessa.  IBDB  IMDb  Obituary"
John Schoenherr (artist),,"July 5, 1935","April 8, 2010",Painted hundreds of famous science fiction book/magazine covers (Dune) and illustrated the Caldecott-award-winning children's book Owl Moon.  Obituary
Meinhardt Raabe (actor),,"September 2, 1915","April 9, 2010","Played the Munchkin Coronor in The Wizard of Oz, injured in a car accident in 1997 that killed his wife, Marie.  IMDb  Obituary"
Dixie Carter (actress),,"May 25, 1939","April 10, 2010","Designing Women, Family Law, married to Hal Holbrook since the early '80s.  Home Page  IBDB  IMDb  Obituary"
George Scithers (editor),Heart attack. ,"May 14, 1929","April 19, 2010","Longtime science fiction fan, Scithers promoted heroic literature, was the first editor of Isaac Asimov's Science Fiction Magazine (for which he won two Hugo Awards) and revived Weird Tales.  Obituary"
Dorothy Height (civil rights activist),,"March 20, 1912","April 20, 2010","One of the early, visible women in the US civil rights, Height encouraged dialog between white and black women in the South, worked with Dr. Martin Luther King, Jr., and served as an advisor to many presidents.  IMDb  Obituary  FindAGrave"
Alan Sillitoe (writer),,"March 4, 1928",April 25 2010,"Wrote ""The Lonliness of the Long Distance Runner"" and Saturday Night and Sunday Morning.  IMDb  Obituary  FindAGrave"
Dorothy Provine (actress),Emphysema. ,"January 20, 1937","April 25, 2010","Many '60s movie comedies, like It's a Mad, Mad, Mad, Mad World.  IMDb  Obituary  FindAGrave"
Lynn Redgrave (actress),Breast cancer ,"March 8, 1943","May 2, 2010","Georgy Girl and lots of other comedies, strong dramatic turn in Gods and Monsters and an excellent short part in Kinsey.  Home Page  IBDB  IMDb  Obituary"
Lena Horne (singer/actress),Heart disease. ,"June 30, 1917 ","May 9, 2010","Long had a ""Summertime"" voice, one of the first major black stars in Hollywood, activist for civil rights causes.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Frank Frazetta (artist),Stroke ,"February 9, 1928","May 10, 2010",Created thousands of book covers and posters on a swords and sorcery theme.   Home Page  IMDb  Obituary
Martin Gardner (writer/puzzle-maker/skeptic),,"October 21, 1914","May 22, 2010","Author of Scientific American's ""Mathematical Games"" for over 25 years and wrote many books.  Home Page  IMDb  Obituary"
Art Linkletter (talk show host/writer),,"July 17, 1912","May 26, 2010",Hosted House Party and wrote books like Kids Say the Darndest Things.  IMDb  Obituary
Gary Coleman (former child star),Intracranial hemorrhage. ,"February 8, 1968","May 28, 2010",Diff'rent Strokes.  IMDb   Obituary  FindAGrave
Dennis Hopper (actor),Cancer. ,"May 17, 1936","May 29, 2010","Hoosiers, Blue Velvet and directed and starred in the classic Easy Rider. A former space cadet, Hopper was clean and sober for many years, former husband of Brooke Hayward and (briefly) of Michelle Phillips.  Home Page  IBDB  IMDb  Obituary  "
Rue McClanahan (actress),Stroke. ,"February 21, 1934","June 3, 2010","Maude, Mama's Family. Golden Girls - married six times, battled breast cancer.  IBDB  IMDb  Obituary  FindAGrave"
Jimmy Dean (singer/sausage king),,"August 10, 1928","June 13, 2010","""Big Bad John.""  IMDb  Obituary  FindAGrave"
Robert Byrd (senator),,"November 20, 1917","June 28, 2010","Longest-serving senator, represented West Virginia as Senator for over 50 years.  IMDb  Obituary  FindAGrave"
Harvey Pekar (comics writer),,"October 8, 1939","July 12, 2010","His quirky American Splendor was the basis for a movie about his life, also wrote Our Cancer Year.  Home Page  IMDb  Obituary"
James P. Hogan (writer),,"June 27, 1941","July 12, 2010",Science fiction writer (The Genesis Experiment) whose later writings frequently blurred the line between fantasy and reality.  Home Page
George Steinbrenner (Yankees owner),Heart attack. ,"July 4, 1930","July 13, 2010","Owned the Yankees from 1973, many famous battles with Billy Martin.  IMDb"
Daniel Schorr (journalist),,"August 31, 1916","July 23, 2010","Longtime CBS reporter, an analyst for NPR at the time of his death.  Home Page  IMDb  Obituary"
"Lorene Yarnell (mime, dancer)",Aneurysm. ,"March 21, 1948","July 29, 2010","Part of the ubiquitous '70s-'80s Shields and Yarnell mime team, Yarnell and Robert Shields divorced and she later retired to Norway after appearing as Dot Matrix in Spaceballs.  IMDb"
Mitch Miller (conductor),,"July 4, 1911","July 31, 2010","Starred in Sing-A-Long with Mitch (""Follow the bouncing ball..."") but started his career as an oboeist for symphony orchestras before going on to be a record producer for Columbia and launching the careers of singers like Leslie Uggams.  IMDb"
Patricia Neal (actress),Lung cancer. ,"January 20, 1926","August 8, 2010","The Day the Earth Stood Still, won an Oscar for Hud, ex-wife of writer Roald Dahl, had a major stroke in the '60s while pregnant with her last child, but recovered and returned to work.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
David L. Wolper (producer),Congestive heart failure/Parkinson's disease. ,"January 11, 1928","August 10, 2010","Producer of Roots (who, ironically, died a day before the anniversary of Alex Haley's birth) and the original Willie Wonka and the Chocolate Factory, created opening ceremonies for the 1984 Olympics and a lifelong friend of Art Buchwald.  Home Page  IMDb  Obituary"
Edwin Newman (journalist/writer),,"January 25, 1919","August 13, 2010","Early NBC newscaster, did the Today Show, afternoon newsbreaks and hosted Saturday Night Live one time, author of books on the use of English, spoke strictly...  IMDb  Obit"
Abbey Lincoln (singer/actress),,"August 6, 1930","August 14, 2010","Jazz singer with a long career who starred in For the Love of Ivy and other movies with Sidney Poitier, married to Max Roach during the '60s.  Home Page  IMDb  Obituary"
Christopher Shea (Original Linus),,February 5,"August 19, 2010",1958. Linus in the first few Charlie Brown specials.  Home Page  IMDb  Obituary
Cammie King (Marketer/actress),Lung cancer. ,"August 5, 1934","September 1, 2010",Played Bonnie Blue Butler in Gone with the Wind (a role a very young Elizabeth Taylor was rumored to be in the running for).  IMDb  Obituary  FindAGrave
Larry Ashmead (editor),Pneumonia. ,"July 4, 1932","September 3, 2010",Editor for writers including Isaac Asimov and Susan Isaacs.  Obituary
Billie Mae Richards (actress/cartoon voice),,circa November 1921,"September 10, 2010",Rudolph in Rudolph the Red-Nosed Reindeer (later a neighbor in Toronto of Paul Soles who voiced Hermey (the dental elf)).  IMDb  Obituary  FindAGrave
E. C. Tubb (writer),,"October 15, 1919","September 10, 2010","British science fiction and Western writer, probably best-known for the The Dumarest Saga and for novelizations of the Space: 1999 series.  Home Page  IMDb"
Harold Gould (actor),,"December 10, 1923","September 11, 2010","The Sting, Rhoda, and The Golden Girls, along with Bill Cosby, one of the few folks in the entertainment industry to earn a Ph.d. (in theatre).  IBDB  IMDb  Obituary  FindAGrave"
Kevin McCarthy (actor),,"February 15, 1914","September 11, 2010",Broadway actor who earned an Oscar nomination for Death of a Salesman and went on to star in the cult movie classic Invasion of the Body Snatchers.  IBDB  IMDb  Obituary  FindAGrave
Eddie Fisher (singer),Complications of surgery for a broken hip. ,"August 10, 1928","September 22, 2010","Singer, movie star, married at various times, to Debbie Reynolds, Liz Taylor and Connie Stevens, father of Carrie and Joely Fisher.  IBDB  IMDb  Obituary  FindAGrave"
Gloria Stuart (actress),Lung cancer. ,"July 4, 1910","September 26, 2010","A founder of the Screen Actors Guild, she appeared in many '30s movies and appeared as the older Rose in Titanic.  IMDb  Obituary  FindAGrave"
Arthur Penn (Director),,"September 27, 1922","September 28, 2010","Directed many early plays on TV, including The Miracle Worker, went on to direct Bonnie and Clyde and Alice's Restaurant.  IBDB  IMDb  Obituary"
Tony Curtis (actor/painter),Cardiac arrest. ,"June 3, 1925","September 29, 2010","Oscar-nominated for The Defiant Ones, starred in The Boston Strangler, Spartacus, Some Like It Hot (later played the aging playboy in the theatrical version), once married to Janet Leigh, father of Jamie Lee Curtis.  Home Page  IMDb  Obituary"
Stephen J. Cannell (producer/writer),Melanoma. ,"February 5, 1941","September 30, 2010","Writer/producer of many TV shows, created popular shows like The Rockford Files, The A Team and The Commish.  IMDb  Obituary  FindAGrave"
Belva Plain (writer),,"October 9, 1915","October 12, 2010",Evergreen.  IMDb  Obituary  FindAGrave
Benoit Mandelbrot (mathematician),Pancreatic cancer. ,"November 20, 1924","October 14, 2010",Developed the area of fractal geometry.  Home Page
Simon MacCorkindale (actor),Cancer. ,"February 12, 1952","October 14, 2010","Death on the Nile, Falcon Crest, married to Susan George.  IMDb  Obituary  FindAGrave"
Johnny Sheffield (child actor),Heart attack. ,"April 11, 1931","October 15, 2010","Boy in the Tarzan movies, Bomba in the Bomba movies.  IMDb  Obituary"
Barbara Billingsley (Beaver's mom),,"December 22, 1915","October 16, 2010","An early TV icon (Leave It to Beaver), and a great bit part in Airplane!.  twitter  IMDb  Obituary  FindAGrave"
Tom Bosley (actor),Cancer. ,"October 1, 1927","October 19, 2010",Best-known as Mr. C in Happy Days.  IBDB  IMDb  Obituary  FindAGrave
Graham Crowden (actor),,"November 30, 1922","October 19, 2010","Tom in Waiting for God, many bit parts on British TV, including Dr. Who (he was cast as ""The Doctor"" but chose not to play the part...so Tom Baker played him instead).  IMDb  Obituary"
Bob Guccione (publisher),Cancer. ,"December 17, 1930","October 20, 2010","Founder of Penthouse, which either raised or lowered the standard for nudity/porn in print (though may be curiously tame compared to some of the photos on the Internet).  IMDb  Obituary"
Joseph Stein (playwright),,"May 30, 1912","October 24, 2010","Won a Tony for Fiddler on the Roof, also wrote Zorba and Enter Laughing, died a little over a week before Jerry Bock who wrote the music for Fiddler.  IBDB  IMDb  Obituary"
Lisa Blount (actress/producer),,"July 1, 1957","October 25, 2010","Debra Winger's friend in An Officer and a Gentleman, won an Oscar for the short subject The Accountant.  IMDb  Obituary"
James MacArthur (actor),,"December 8, 1937","October 28, 2010","Son of Helen Hayes and Charles MacArthur, the Danno on the original Hawaii 5-0, once married to Melody Patterson. Ironically, the exec producer of the Hawaii 5-0 remake wanted MacArthur on as a guest, but the original Danno was busy. The producer said ""We have time,"" three weeks before MacArthur died.  IBDB  IMDb  Obituary"
Jerry Bock (Broadway composer),Heart failure. ,"November 23, 1928","November 3, 2010","Wrote the score for Fiddler on the Roof, longtime collaborator of Sheldon Harnick, and died a little over a week after Joseph Stein who wrote the script for Fiddler.  IBDB  IMDb  Obituary"
Jill Clayburgh (actress),Leukemia. ,"April 30, 1944","November 5, 2010","Oscar-nominated for Starting Over, she also starred in An Unmarried Woman, appeared on Broadway a number of times, and was married to David Rabe for many years.  IBDB  IMDb  Obituary"
Dino De Laurentiis (producer),,"August 8, 1919","November 11, 2010","Active in the industry for over 70 years, he produced big movies like King Kong, Dune and Ragtime.  IMDb  Obituary"
Irvin Kershner (director),Lung cancer. ,"April 29, 1923","November 29, 2010","Almost single-handedly raised the Star Wars series from great popcorn flicks to art with The Empire Strikes Back, would like to have directed one of the last set of SW movies.  IMDb  Obituary  FindAGrave"
Leslie Nielsen (actor),Pneumonia/staph infection. ,"February 11, 1926","November 28, 2010","Formerly a somewhat serious actor (Forbidden Planet) until he exclaimed ""And don't call me Shirley!"" in Airplane, made silly comedies (like Naked Gun) for most of the second half of his career.  IBDB  IMDb  Obituary  FindAGrave"
"Don ""Dandy Don"" Meredith (football player/football broadcaster/pitchman)",Cerebral hemorrage. ,"April 10, 1938","December 5, 2010","A Dallas Cowboy for years, part of the first Monday Night Football broadcast team, died same year as Merlin Olsen.  IMDb  Obituary  FindAGrave"
Elizabeth Edwards (writer/advisor/activist),Breast cancer. ,"July 3, 1949","December 7, 2010","Wrote a number of books after her cancer diagnosis and husband's famous infidelity, including Resilience: Reflections on the Burdens and Gifts of Facing Life's Adversities, an inspiration for many for her straight-talking attitude. Make memorial contribution to the Wade Edwards Learning Lab.  IMDb  Obituary  FindAGrave"
Richard Holbrooke (diplomat/writer/Wall St. executive),Aortic dissection. ,"April 24, 1941","December 13, 2010","Helped negotiate peace settlements, most notably in the Balkans, special representative to both Pakistan and Afghanistan at the time of his death.  IMDb  Obituary  FindAGrave"
Blake Edwards (director),Pneumonia. ,"July 26, 1922","December 15, 2010","Directed classic flicks like Breakfast at Tiffany's, The Great Race, the early Pink Panther movies, Victor/Victoria, married to Julie Andrews for over 40 years.  IBDB  IMDb  Obituary"
"Don ""Captain Beefheart"" Van Vliet (avant garde musician/artist)",Multicple sclerosis. ,"January 15, 1941","December 17, 2010","Influential musician and longtime friend of Frank Zappa, probalby best-known for Trout Mask Replica.  Home Page  IMDb  Obituary  FindAGrave"
Steve Landesberg (actor/writer),Cancer. ,"November 23, 1945","December 20, 2010","Dietrich in Barney Miller, Forgetting Sarah Marshall, many TV bit parts in-between.  IMDb"
Teena Marie (R+B singer),Seizure. ,"March 5, 1956","December 26, 2010","""Lovergirl,"" longtime protege of Rick James, one of the first white singers signed to the Motown label.  IMDb  Obituary  FindAGrave"
Billy Taylor (musician/jazz educator),Heart attack. ,"July 24, 1921","December 28, 2010",Pianist who hosted the first network TV show on jazz (The Subject Is Jazz) and later spoke about jazz on Sunday Morning and NPR.  IMDb  Obituary  FindAGrave
